model,fold,threshold,precision,recall,f1,f2,pr_auc,tp,fp,fn,tn
LogisticRegression,1,0.39263560734037994,0.5,0.6666666666666666,0.5714285714285714,0.625,0.6329177644967119,6,6,3,135
LogisticRegression,2,0.10550274286401297,0.25,0.7777777777777778,0.3783783783783784,0.546875,0.6731658148552717,7,21,2,120
LogisticRegression,3,0.42361200380269026,0.4117647058823529,0.7,0.5185185185185185,0.6140350877192983,0.6779477372428443,7,10,3,130
LogisticRegression,4,0.06391983496868395,0.2558139534883721,0.9166666666666666,0.4,0.6043956043956045,0.6549832960418617,11,32,1,106
LogisticRegression,5,0.9999006824629785,0.0,0.0,0.0,0.0,0.6770529470529469,0,0,13,137
RandomForest,1,0.3,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.2564102564102564,0.5162340704856985,2,1,7,140
RandomForest,2,0.2475,0.375,0.3333333333333333,0.35294117647058826,0.34090909090909094,0.439530868168639,3,5,6,136
RandomForest,3,0.245,0.2857142857142857,0.2,0.23529411764705882,0.2127659574468085,0.45918469006581863,2,5,8,135
RandomForest,4,0.2575,0.36363636363636365,0.3333333333333333,0.34782608695652173,0.33898305084745767,0.469220917970918,4,7,8,131
RandomForest,5,0.0725,0.21666666666666667,1.0,0.3561643835616438,0.5803571428571429,0.5190438897452472,13,47,0,90
GradientBoosting,1,0.004090595529605454,0.7272727272727273,0.8888888888888888,0.8,0.851063829787234,0.8169342577388554,8,3,1,138
GradientBoosting,2,0.02070196679110029,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8301617709663687,7,2,2,139
GradientBoosting,3,0.19328701569451104,0.6666666666666666,0.4,0.5,0.43478260869565216,0.8079198770578081,4,2,6,138
GradientBoosting,4,0.005123115271113482,0.4,1.0,0.5714285714285714,0.7692307692307692,0.9078699078699078,12,18,0,120
GradientBoosting,5,0.012482177672164458,0.5909090909090909,1.0,0.7428571428571429,0.8783783783783784,0.9329025225786358,13,9,0,128
