feature,importance_mean,importance_std
congestion,0.2970407031239146,0.0273188210715908
packet_loss,0.27592732608489207,0.02259625755061041
latency,0.12131280992605394,0.007947791641031132
jitter,0.11992663652048416,0.004197031155333519
throughput,0.10027521846233023,0.01229048358948211
congestion__lag3,0.01659884343626614,0.005956969507469416
throughput__lag2,0.015114251161957363,0.00552962403565755
congestion__lag1,0.011656872401328627,0.007891415953115537
throughput__lag3,0.006877285247993336,0.0069467942266398484
congestion__roll6_std,0.005470883278199853,0.0012672642517876811
congestion__delta1,0.004241042128515969,0.003519841047283878
packet_loss__delta1,0.0031909834432090603,0.0008129701733956919
latency__delta1,0.002529893206340701,0.00278564261099512
latency__lag1,0.0024304807135130564,0.00169794362723675
throughput__roll3_std,0.0018971999320495827,0.0017689500225158826
throughput__delta1,0.0018400205196070721,0.0017376788773941897
jitter__roll3_std,0.0014594644139599422,0.002057951998768435
latency__roll6_std,0.001238185124721335,0.0010745370202201838
congestion__lag2,0.0010556069510813918,0.0014784656481755221
latency__roll6_mean,0.000994655193345064,0.0014075618633550945
jitter__delta1,0.0008951011160216245,0.0009274385383628078
packet_loss__lag2,0.0007794906131537721,0.0007719820957908386
throughput__roll3_mean,0.0007768034105658137,0.0014237387500337893
congestion__roll6_mean,0.0007604080165509418,0.0003877442510431987
throughput__lag1,0.0007585586560878634,0.0010541279451616436
congestion__roll3_std,0.0006522673001132398,0.0012644570412021477
jitter__roll6_std,0.0005151433009976203,0.0007113827011186909
throughput__roll6_mean,0.00046394897919472216,0.0007582516740640202
latency__roll3_std,0.00046243692093521116,0.000707631324475048
packet_loss__roll6_std,0.00044995425509665915,0.0003697796890867806
jitter__lag3,0.000444919165699505,0.0004323908285313026
latency__lag3,0.0004261079823892574,0.0005572187085951143
packet_loss__roll3_std,0.0004176528891029135,0.00021774378492790604
jitter__roll3_mean,0.00033375777168569056,0.00044625764494626255
jitter__lag1,0.00024647506700378334,0.0004036850977957769
jitter__lag2,0.00020298001227410676,0.00019495888034393147
packet_loss__roll6_mean,0.00016392402682486093,0.00032784805364972187
congestion__roll3_mean,9.076378852704819e-05,9.67495121544575e-05
throughput__roll6_std,6.070114313800986e-05,0.00012140228627601972
packet_loss__roll3_mean,2.0244314873819456e-05,2.7309542863831743e-05
Number videos,0.0,0.0
bandwidth__lag1,0.0,0.0
bandwidth__lag2,0.0,0.0
bandwidth__lag3,0.0,0.0
bandwidth__delta1,0.0,0.0
bandwidth__roll3_mean,0.0,0.0
bandwidth__roll3_std,0.0,0.0
bandwidth__roll6_mean,0.0,0.0
bandwidth__roll6_std,0.0,0.0
bandwidth,0.0,0.0
Percentage video occupancy,0.0,0.0
Bitrate video,0.0,0.0
packet_loss__lag3,0.0,0.0
packet_loss__lag1,0.0,0.0
latency__lag2,0.0,0.0
latency__roll3_mean,0.0,0.0
jitter__roll6_mean,0.0,0.0
